GENE	TREENESS_RATIO	treeness	RCV
100008at147545	8.9679	0.8514	0.0949
100064at147545	6.0693	0.7958	0.1311
100092at147545	5.0126	0.5621	0.1121
100165at147545	2.2449	0.1679	0.0748
10018at147545	3.2213	0.2943	0.0914
100217at147545	2.8801	0.5008	0.1739
100255at147545	1.6372	0.7241	0.4423
100287at147545	0.7487	0.4218	0.5634
100292at147545	3.2612	0.4079	0.1251
100306at147545	12.2001	0.7279	0.0597
100316at147545	16.9335	0.5499	0.0325
100337at147545	1.76	0.4125	0.2344
100344at147545	4.0711	0.3987	0.0979
100375at147545	5.8679	0.3876	0.0661
100376at147545	14.3182	0.836	0.0584
100432at147545	7.1049	0.7857	0.1106
10044at147545	3.763	0.4378	0.1163
100457at147545	3.4077	0.4058	0.1191
100489at147545	20.4678	0.7994	0.0391
100513at147545	2.8902	0.2986	0.1033
100520at147545	3.3007	0.408	0.1236
100521at147545	5.4442	0.3886	0.0714
100525at147545	4.843	0.7548	0.1559
100536at147545	2.7966	0.46	0.1645
100544at147545	2.7618	0.7652	0.277
100555at147545	6.4753	0.7223	0.1115
100577at147545	1.9807	0.5416	0.2734
10057at147545	1.8991	0.4719	0.2485
100596at147545	8.8914	0.6231	0.0701
10065at147545	5.3553	0.7879	0.1471
100704at147545	10.1571	0.3788	0.0373
100729at147545	8.1282	0.6711	0.0826
100737at147545	10.2553	0.4496	0.0438
100738at147545	5.2869	0.7031	0.133
100741at147545	2.538	0.3317	0.1307
100767at147545	10.3446	0.7921	0.0766
100804at147545	5.9994	0.8545	0.1424
10080at147545	4.2408	0.3763	0.0887
100855at147545	4.5015	0.7656	0.1701
100859at147545	12.4882	0.9087	0.0728
100882at147545	8.6409	0.8878	0.1027
10093at147545	3.5381	0.502	0.1419
100955at147545	3.2716	0.3949	0.1207
100962at147545	8.6324	0.7232	0.0838
100998at147545	10.3027	0.5918	0.0574
10108at147545	4.9405	0.7869	0.1593
101134at147545	8.0983	0.5337	0.0659
101153at147545	4.667	0.3774	0.0809
101260at147545	6.9001	0.3487	0.0505
101326at147545	3.3081	0.6855	0.2072
101348at147545	12.0624	0.6287	0.0521
101352at147545	2.0384	0.6247	0.3065
101370at147545	5.8399	0.4967	0.0851
101406at147545	6.3799	0.5081	0.0796
101424at147545	27.168	0.5951	0.0219
10144at147545	11.7922	0.8435	0.0715
101460at147545	4.29	0.6216	0.1449
101524at147545	3.424	0.2399	0.0701
101525at147545	3.2829	0.3398	0.1035
101545at147545	5.9823	0.8402	0.1405
101552at147545	7.0256	0.8595	0.1223
101574at147545	13.0366	0.4853	0.0372
101588at147545	2.0637	0.5169	0.2505
101702at147545	3.4705	0.7348	0.2117
101765at147545	4.4595	0.8452	0.1895
101771at147545	2.5998	0.5756	0.2214
101788at147545	8.6624	0.8385	0.0968
101795at147545	11.0113	0.8042	0.073
101803at147545	24.5426	0.8275	0.0337
10183at147545	1.9523	0.314	0.1608
10187at147545	10.8171	0.6225	0.0575
101882at147545	2.8726	0.4936	0.1718
101901at147545	7.55	0.8022	0.1063
101929at147545	3.983	0.4668	0.1172
101957at147545	6.6674	0.6752	0.1013
101958at147545	2.656	0.4181	0.1574
102024at147545	3.5521	0.5454	0.1535
102054at147545	3.382	0.5494	0.1625
102089at147545	2.0982	0.3842	0.1831
102114at147545	1.9785	0.6151	0.3109
102189at147545	2.3773	0.4048	0.1703
102223at147545	7.013	0.8854	0.1263
102229at147545	5.4282	0.7756	0.1429
10234at147545	7.3469	0.5667	0.0771
102406at147545	4.4008	0.3299	0.075
10240at147545	2.6838	0.4086	0.1522
10243at147545	5.1673	0.2799	0.0542
102449at147545	9.1911	0.8778	0.0955
102455at147545	1.7546	0.2884	0.1644
102473at147545	2.5629	0.278	0.1085
10249at147545	3.2982	0.3528	0.107
102519at147545	6.5925	0.6127	0.0929
102540at147545	16.0504	0.6445	0.0402
102553at147545	3.1379	0.7369	0.2348
102617at147545	6.7301	0.458	0.0681
102635at147545	4.5118	0.5524	0.1224
102637at147545	3.8758	0.4522	0.1167
102648at147545	1.8639	0.3904	0.2095
102682at147545	12.7557	0.571	0.0448
10278at147545	16.1555	0.8507	0.0527
102831at147545	4.0911	0.5327	0.1302
102869at147545	4.8228	0.6296	0.1306
102917at147545	4.4938	0.6953	0.1547
102942at147545	22.6478	0.8581	0.0379
102987at147545	13.1073	0.9012	0.0688
103059at147545	1.5795	0.2438	0.1543
103174at147545	5.5672	0.8532	0.1532
103229at147545	2.4866	0.3655	0.147
103233at147545	3.774	0.6617	0.1753
103252at147545	4.5185	0.543	0.1202
103280at147545	2.203	0.4313	0.1958
103284at147545	6.9294	0.9116	0.1316
10330at147545	17.2041	0.7336	0.0426
103351at147545	5.0362	0.6003	0.1192
103354at147545	3.4602	0.5646	0.1632
103488at147545	6.0775	0.2785	0.0458
103491at147545	21.1277	0.9783	0.0463
103495at147545	1.8076	0.4141	0.2291
103545at147545	3.2802	0.4086	0.1246
103547at147545	10.6773	0.6973	0.0653
