GENE	TREENESS_RATIO	treeness	RCV
112526at147545.cds.mfa.phykit_toverr	89.4425	0.7483	0.0084
33099at147545.cds.mfa.phykit_toverr	85.6073	0.7515	0.0088
119262at147545.cds.mfa.phykit_toverr	69.9527	0.8677	0.0124
49761at147545.cds.mfa.phykit_toverr	65.8544	0.8145	0.0124
30334at147545.cds.mfa.phykit_toverr	63.293	0.8408	0.0133
14123at147545.cds.mfa.phykit_toverr	60.3272	0.8544	0.0142
85577at147545.cds.mfa.phykit_toverr	59.5134	0.962	0.0162
29398at147545.cds.mfa.phykit_toverr	57.8601	0.5297	0.0092
61270at147545.cds.mfa.phykit_toverr	57.7554	0.8199	0.0142
61608at147545.cds.mfa.phykit_toverr	57.4622	0.7442	0.013
78806at147545.cds.mfa.phykit_toverr	57.3158	0.619	0.0108
30420at147545.cds.mfa.phykit_toverr	57.2484	0.808	0.0141
99957at147545.cds.mfa.phykit_toverr	54.4062	0.8676	0.0159
113970at147545.cds.mfa.phykit_toverr	53.5131	0.9928	0.0186
118119at147545.cds.mfa.phykit_toverr	50.5415	0.8418	0.0167
48331at147545.cds.mfa.phykit_toverr	50.1042	0.8161	0.0163
37149at147545.cds.mfa.phykit_toverr	49.1447	0.6346	0.0129
74241at147545.cds.mfa.phykit_toverr	46.3621	0.8293	0.0179
111668at147545.cds.mfa.phykit_toverr	45.5302	0.6747	0.0148
103491at147545.cds.mfa.phykit_toverr	44.7198	0.9576	0.0214
97109at147545.cds.mfa.phykit_toverr	44.1623	0.7384	0.0167
100489at147545.cds.mfa.phykit_toverr	44.1204	0.8169	0.0185
91275at147545.cds.mfa.phykit_toverr	43.7013	0.8887	0.0203
107512at147545.cds.mfa.phykit_toverr	43.1444	0.8031	0.0186
101424at147545.cds.mfa.phykit_toverr	43.0573	0.5562	0.0129
52223at147545.cds.mfa.phykit_toverr	42.8182	0.8385	0.0196
109627at147545.cds.mfa.phykit_toverr	42.4052	0.869	0.0205
89555at147545.cds.mfa.phykit_toverr	41.0498	0.6479	0.0158
45324at147545.cds.mfa.phykit_toverr	41.17	0.8743	0.0212
99572at147545.cds.mfa.phykit_toverr	40.6927	0.4013	0.0099
26114at147545.cds.mfa.phykit_toverr	40.3297	0.5698	0.0141
47015at147545.cds.mfa.phykit_toverr	40.1469	0.8427	0.021
109398at147545.cds.mfa.phykit_toverr	39.4704	0.6555	0.0166
112316at147545.cds.mfa.phykit_toverr	39.3528	0.5023	0.0128
66556at147545.cds.mfa.phykit_toverr	39.2059	0.6441	0.0164
101803at147545.cds.mfa.phykit_toverr	39.1073	0.6826	0.0175
25804at147545.cds.mfa.phykit_toverr	39.589	0.7893	0.0199
46768at147545.cds.mfa.phykit_toverr	38.3053	0.8769	0.0229
115802at147545.cds.mfa.phykit_toverr	38.1689	0.8452	0.0221
55603at147545.cds.mfa.phykit_toverr	38.434	0.6138	0.016
10330at147545.cds.mfa.phykit_toverr	38.295	0.7569	0.0198
31211at147545.cds.mfa.phykit_toverr	37.2734	0.8183	0.022
10553at147545.cds.mfa.phykit_toverr	36.8213	0.5051	0.0137
114217at147545.cds.mfa.phykit_toverr	36.6331	0.7309	0.02
47488at147545.cds.mfa.phykit_toverr	36.5547	0.8428	0.0231
115853at147545.cds.mfa.phykit_toverr	36.5213	0.8173	0.0224
84672at147545.cds.mfa.phykit_toverr	36.1396	0.4011	0.0111
60098at147545.cds.mfa.phykit_toverr	35.6773	0.7352	0.0206
66530at147545.cds.mfa.phykit_toverr	35.3034	0.6628	0.0188
68539at147545.cds.mfa.phykit_toverr	35.908	0.8319	0.0232
50141at147545.cds.mfa.phykit_toverr	35.0327	0.4082	0.0117
70760at147545.cds.mfa.phykit_toverr	34.9852	0.5897	0.0169
106852at147545.cds.mfa.phykit_toverr	34.9776	0.7816	0.0223
75481at147545.cds.mfa.phykit_toverr	34.7336	0.6499	0.0187
96219at147545.cds.mfa.phykit_toverr	34.5182	0.4943	0.0143
114380at147545.cds.mfa.phykit_toverr	34.1491	0.722	0.0211
107636at147545.cds.mfa.phykit_toverr	33.8038	0.6351	0.0188
53863at147545.cds.mfa.phykit_toverr	33.7959	0.8496	0.0251
81356at147545.cds.mfa.phykit_toverr	33.6537	0.8061	0.024
49601at147545.cds.mfa.phykit_toverr	33.3343	0.7688	0.0231
74882at147545.cds.mfa.phykit_toverr	33.3139	0.808	0.0243
77476at147545.cds.mfa.phykit_toverr	33.969	0.5902	0.0174
52017at147545.cds.mfa.phykit_toverr	32.7938	0.5178	0.0158
81295at147545.cds.mfa.phykit_toverr	32.4522	0.7917	0.0244
102942at147545.cds.mfa.phykit_toverr	32.3375	0.8516	0.0263
22776at147545.cds.mfa.phykit_toverr	32.3273	0.646	0.02
88296at147545.cds.mfa.phykit_toverr	31.8153	0.7989	0.0251
105481at147545.cds.mfa.phykit_toverr	31.7962	0.4376	0.0138
64011at147545.cds.mfa.phykit_toverr	31.7436	0.7106	0.0224
46213at147545.cds.mfa.phykit_toverr	31.4395	0.5811	0.0185
58208at147545.cds.mfa.phykit_toverr	31.4271	0.5626	0.0179
92089at147545.cds.mfa.phykit_toverr	31.3405	0.4554	0.0145
62218at147545.cds.mfa.phykit_toverr	31.2836	0.7252	0.0232
84804at147545.cds.mfa.phykit_toverr	31.542	0.8103	0.0257
100998at147545.cds.mfa.phykit_toverr	31.326	0.5871	0.0187
24991at147545.cds.mfa.phykit_toverr	31.0218	0.7983	0.0257
53480at147545.cds.mfa.phykit_toverr	31.5	0.7027	0.0223
69241at147545.cds.mfa.phykit_toverr	30.7215	0.7934	0.0258
76922at147545.cds.mfa.phykit_toverr	30.6821	0.7671	0.025
60920at147545.cds.mfa.phykit_toverr	30.5408	0.8461	0.0277
41498at147545.cds.mfa.phykit_toverr	30.4661	0.5087	0.0167
89709at147545.cds.mfa.phykit_toverr	30.0583	0.6674	0.0222
36195at147545.cds.mfa.phykit_toverr	29.8265	0.8319	0.0279
98271at147545.cds.mfa.phykit_toverr	29.7836	0.3678	0.0123
27437at147545.cds.mfa.phykit_toverr	29.7376	0.7862	0.0264
61964at147545.cds.mfa.phykit_toverr	29.4286	0.8661	0.0294
90579at147545.cds.mfa.phykit_toverr	29.3988	0.4822	0.0164
98302at147545.cds.mfa.phykit_toverr	29.3825	0.7102	0.0242
75408at147545.cds.mfa.phykit_toverr	29.3616	0.5383	0.0183
56930at147545.cds.mfa.phykit_toverr	29.1616	0.6026	0.0207
95473at147545.cds.mfa.phykit_toverr	29.1515	0.4011	0.0138
97779at147545.cds.mfa.phykit_toverr	29.1113	0.8702	0.0299
120876at147545.cds.mfa.phykit_toverr	29.0259	0.6368	0.0219
101795at147545.cds.mfa.phykit_toverr	28.9992	0.7731	0.0267
117777at147545.cds.mfa.phykit_toverr	28.9165	0.6647	0.023
14414at147545.cds.mfa.phykit_toverr	28.7742	0.7895	0.0274
103613at147545.cds.mfa.phykit_toverr	28.6931	0.8561	0.0298
89574at147545.cds.mfa.phykit_toverr	28.6705	0.7463	0.026
64520at147545.cds.mfa.phykit_toverr	28.4914	0.394	0.0138
106653at147545.cds.mfa.phykit_toverr	28.2677	0.4784	0.0169
71634at147545.cds.mfa.phykit_toverr	28.2302	0.8208	0.0291
33003at147545.cds.mfa.phykit_toverr	28.1372	0.8684	0.0309
112279at147545.cds.mfa.phykit_toverr	28.0371	0.7198	0.0257
93593at147545.cds.mfa.phykit_toverr	27.8613	0.7875	0.0283
29210at147545.cds.mfa.phykit_toverr	27.7998	0.6864	0.0247
100316at147545.cds.mfa.phykit_toverr	27.7118	0.4859	0.0175
114019at147545.cds.mfa.phykit_toverr	27.6728	0.5549	0.0201
120315at147545.cds.mfa.phykit_toverr	27.5472	0.8922	0.0324
72514at147545.cds.mfa.phykit_toverr	27.5423	0.7772	0.0282
53380at147545.cds.mfa.phykit_toverr	27.5236	0.6262	0.0228
86027at147545.cds.mfa.phykit_toverr	27.3316	0.3929	0.0144
20455at147545.cds.mfa.phykit_toverr	27.0588	0.6024	0.0223
111536at147545.cds.mfa.phykit_toverr	27.0392	0.7807	0.0289
96678at147545.cds.mfa.phykit_toverr	27.209	0.6246	0.023
94928at147545.cds.mfa.phykit_toverr	26.9623	0.6949	0.0258
62642at147545.cds.mfa.phykit_toverr	26.9337	0.7978	0.0296
107558at147545.cds.mfa.phykit_toverr	26.7954	0.8156	0.0304
58598at147545.cds.mfa.phykit_toverr	26.7143	0.4981	0.0186
35215at147545.cds.mfa.phykit_toverr	26.6774	0.5437	0.0204
114745at147545.cds.mfa.phykit_toverr	26.3825	0.6302	0.0239
108878at147545.cds.mfa.phykit_toverr	26.1321	0.3949	0.0151
36146at147545.cds.mfa.phykit_toverr	26.1289	0.9205	0.0352
122686at147545.cds.mfa.phykit_toverr	26.718	0.6879	0.0257
117172at147545.cds.mfa.phykit_toverr	26.0424	0.5968	0.0229
58802at147545.cds.mfa.phykit_toverr	25.9965	0.5332	0.0205
122114at147545.cds.mfa.phykit_toverr	25.8562	0.5051	0.0195
100767at147545.cds.mfa.phykit_toverr	25.8355	0.7929	0.0307
101574at147545.cds.mfa.phykit_toverr	25.7757	0.4417	0.0171
45769at147545.cds.mfa.phykit_toverr	25.6308	0.8221	0.0321
119856at147545.cds.mfa.phykit_toverr	25.5664	0.5546	0.0217
105354at147545.cds.mfa.phykit_toverr	25.4871	0.4608	0.0181
17336at147545.cds.mfa.phykit_toverr	25.4619	0.3701	0.0145
69032at147545.cds.mfa.phykit_toverr	25.4212	0.8531	0.0336
116317at147545.cds.mfa.phykit_toverr	25.3442	0.5815	0.0229
62500at147545.cds.mfa.phykit_toverr	25.2546	0.3905	0.0155
100962at147545.cds.mfa.phykit_toverr	25.0874	0.8122	0.0324
89295at147545.cds.mfa.phykit_toverr	25.813	0.6026	0.0233
103547at147545.cds.mfa.phykit_toverr	25.0498	0.7153	0.0286
35334at147545.cds.mfa.phykit_toverr	24.9738	0.5157	0.0207
99148at147545.cds.mfa.phykit_toverr	24.8139	0.7207	0.029
109790at147545.cds.mfa.phykit_toverr	24.5621	0.6808	0.0277
61728at147545.cds.mfa.phykit_toverr	24.5216	0.8062	0.0329
83042at147545.cds.mfa.phykit_toverr	24.3467	0.6185	0.0254
25515at147545.cds.mfa.phykit_toverr	24.2563	0.8159	0.0336
110698at147545.cds.mfa.phykit_toverr	24.2434	0.5049	0.0208
51773at147545.cds.mfa.phykit_toverr	24.0884	0.4013	0.0167
50197at147545.cds.mfa.phykit_toverr	23.9144	0.413	0.0173
46032at147545.cds.mfa.phykit_toverr	23.8834	0.53	0.0222
77517at147545.cds.mfa.phykit_toverr	23.8348	0.6077	0.0255
24656at147545.cds.mfa.phykit_toverr	23.7968	0.3105	0.013
39754at147545.cds.mfa.phykit_toverr	23.7581	0.3723	0.0157
113585at147545.cds.mfa.phykit_toverr	23.7421	0.7186	0.0303
98277at147545.cds.mfa.phykit_toverr	23.7164	0.4538	0.0191
22277at147545.cds.mfa.phykit_toverr	23.6809	0.602	0.0254
24003at147545.cds.mfa.phykit_toverr	23.6244	0.7841	0.0332
5802at147545.cds.mfa.phykit_toverr	23.4794	0.6211	0.0265
87495at147545.cds.mfa.phykit_toverr	23.4724	0.8477	0.0361
79761at147545.cds.mfa.phykit_toverr	23.4002	0.8673	0.0371
74587at147545.cds.mfa.phykit_toverr	23.3455	0.7689	0.0329
119464at147545.cds.mfa.phykit_toverr	23.2289	0.3605	0.0155
71497at147545.cds.mfa.phykit_toverr	23.1123	0.6632	0.0287
117134at147545.cds.mfa.phykit_toverr	23.704	0.5172	0.0218
103933at147545.cds.mfa.phykit_toverr	23.0266	0.6987	0.0303
20212at147545.cds.mfa.phykit_toverr	23.0217	0.7653	0.0332
82953at147545.cds.mfa.phykit_toverr	22.9775	0.7617	0.0331
40123at147545.cds.mfa.phykit_toverr	22.9308	0.8834	0.0385
88029at147545.cds.mfa.phykit_toverr	22.8075	0.539	0.0236
100704at147545.cds.mfa.phykit_toverr	22.7235	0.4804	0.0211
109483at147545.cds.mfa.phykit_toverr	22.6105	0.6058	0.0268
56504at147545.cds.mfa.phykit_toverr	22.6021	0.739	0.0327
45215at147545.cds.mfa.phykit_toverr	22.5648	0.7112	0.0315
52700at147545.cds.mfa.phykit_toverr	22.5547	0.5111	0.0227
39740at147545.cds.mfa.phykit_toverr	22.3814	0.558	0.0249
73480at147545.cds.mfa.phykit_toverr	22.3734	0.3806	0.017
55356at147545.cds.mfa.phykit_toverr	22.3573	0.7151	0.032
70481at147545.cds.mfa.phykit_toverr	22.3408	0.6118	0.0274
65960at147545.cds.mfa.phykit_toverr	22.3243	0.8181	0.0366
24745at147545.cds.mfa.phykit_toverr	22.2104	0.4597	0.0207
33579at147545.cds.mfa.phykit_toverr	22.1345	0.8692	0.0393
81676at147545.cds.mfa.phykit_toverr	22.1288	0.5427	0.0245
24437at147545.cds.mfa.phykit_toverr	22.0559	0.765	0.0347
76617at147545.cds.mfa.phykit_toverr	22.0076	0.8246	0.0375
29133at147545.cds.mfa.phykit_toverr	21.9705	0.8278	0.0377
92132at147545.cds.mfa.phykit_toverr	21.8749	0.5921	0.0271
91704at147545.cds.mfa.phykit_toverr	21.7954	0.5835	0.0268
74522at147545.cds.mfa.phykit_toverr	21.6525	0.4355	0.0201
86398at147545.cds.mfa.phykit_toverr	21.6252	0.5583	0.0258
84312at147545.cds.mfa.phykit_toverr	21.6227	0.8076	0.0373
16475at147545.cds.mfa.phykit_toverr	21.5204	0.2399	0.0111
25923at147545.cds.mfa.phykit_toverr	21.4792	0.5112	0.0238
46483at147545.cds.mfa.phykit_toverr	21.4701	0.855	0.0398
69076at147545.cds.mfa.phykit_toverr	21.4148	0.5663	0.0264
100859at147545.cds.mfa.phykit_toverr	21.2688	0.8917	0.0419
111549at147545.cds.mfa.phykit_toverr	21.2067	0.7925	0.0374
106069at147545.cds.mfa.phykit_toverr	21.1562	0.603	0.0285
91616at147545.cds.mfa.phykit_toverr	21.1403	0.5088	0.0241
90721at147545.cds.mfa.phykit_toverr	21.996	0.4311	0.0196
26987at147545.cds.mfa.phykit_toverr	21.357	0.5809	0.0272
64926at147545.cds.mfa.phykit_toverr	21.226	0.7858	0.037
70641at147545.cds.mfa.phykit_toverr	21.0081	0.7647	0.0364
60657at147545.cds.mfa.phykit_toverr	20.9921	0.6418	0.0306
5796at147545.cds.mfa.phykit_toverr	20.9907	0.3213	0.0153
55571at147545.cds.mfa.phykit_toverr	20.9626	0.5279	0.0252
102987at147545.cds.mfa.phykit_toverr	20.9109	0.8217	0.0393
82014at147545.cds.mfa.phykit_toverr	20.9054	0.6759	0.0323
37863at147545.cds.mfa.phykit_toverr	20.8678	0.5542	0.0266
104070at147545.cds.mfa.phykit_toverr	20.8096	0.448	0.0215
113595at147545.cds.mfa.phykit_toverr	20.8094	0.8644	0.0415
